Crop_Type,Soil_Type,Soil_pH,Soil_Organic_Carbon,Total_Nitrogen,Available_Phosphorus,Available_Potassium,Bulk_Density,Rainfall,Temperature,Humidity,Wind_Speed,Evapotranspiration,Soil_Moisture_Level,Growth_Stage,Fertilizer_Type,Application_Rate,Application_Method,Coating_Type,Irrigation_Type,Water_Amount,Total_Fertilizer_Loss_kg_ha,Fertilizer_Loss_Percentage,Nitrogen_Loss,Phosphorus_Loss,Potassium_Loss
Corn,Sandy,6.05,2.34,222.74,30.08,364.49,1.44,40.84,30.46,84.6,5.14,3.09,Low,Late,Organic,176.24,Broadcast,Biochar,Sprinkler,36.41,44.88,25.47,22.44,13.46,8.98
Citrus,Loamy,6.91,0.65,195.04,52.22,110.98,1.39,15.27,16.15,54.98,2.12,2.01,High,Late,Organic,94.23,Drip,Biochar,Sprinkler,70.4,34.67,36.79,17.34,10.4,6.93
Rice,Clay,7.53,2.41,219.09,25.91,309.79,1.15,5.74,18.81,62.99,2,7.78,Medium,Initial,NPK,177.01,Broadcast,Normal,Sprinkler,36.89,40.32,22.78,20.16,12.1,8.06
Vegetable,Clay,7.2,1.48,79.16,63.25,310.98,1.49,93.58,30.02,93.44,5.15,5.34,Low,Late,NK,167.66,Drip,Controlled_Release,Sprinkler,30.96,58.16,34.69,29.08,17.45,11.63
Citrus,Clay,8.27,1.53,92.31,57.3,351.59,1.44,39.61,31.14,77.37,0.54,6.98,High,Late,Organic,161.42,Drip,Biochar,Drip,45.02,49.79,30.85,24.9,14.94,9.96
Wheat,Sandy,5.62,2.08,195.68,79.36,232.45,1.18,64.88,26.53,77.22,4.57,4.24,High,Mid,NK,140.26,Broadcast,Normal,Flood,10.92,51.86,36.97,25.93,15.56,10.37
Wheat,Clay,6.34,1.89,250.17,50.9,190.93,1.12,84.65,19.44,49.25,3.98,6.09,Low,Late,Organic,180.57,Foliar,Controlled_Release,Drip,72.89,57.28,31.72,28.64,17.18,11.46
Wheat,Sandy,5.67,0.97,56.5,63.77,83.98,1.17,85.99,21.99,48.38,5.2,3.58,High,Mid,PK,107.69,Broadcast,Normal,Drip,56.46,54.76,50.85,27.38,16.43,10.95
Citrus,Sandy,6.08,0.55,159.06,15.22,342.17,1.16,103.92,21.66,40.81,0.84,7.31,High,Late,Urea,181.77,Drip,Biochar,Drip,73,71.46,39.31,35.73,21.44,14.29
Citrus,Clay,5.87,2.06,298.01,13.01,195.98,1.41,97.47,22.33,84.89,2.97,4.88,High,Mid,Urea,94.31,Broadcast,Normal,Sprinkler,37.1,46.9,49.73,23.45,14.07,9.38
Citrus,Clay,7.7,0.76,241.44,50.72,396.19,1.13,83.06,16.49,80.98,1.66,4.91,Medium,Mid,PK,112.98,Broadcast,Normal,Sprinkler,17.76,52.09,46.11,26.04,15.63,10.42
Rice,Sandy,6.61,1.7,162.55,78.97,154.6,1.26,24.56,15.18,94.12,3.39,6.77,High,Late,NK,64,Foliar,Normal,Drip,23.32,28.84,45.06,14.42,8.65,5.77
Rice,Sandy,8.28,2.39,74.51,28.82,203.33,1.28,100.07,15.18,72.36,3.57,6.55,Medium,Mid,Organic,167.19,Drip,Controlled_Release,Flood,54.51,58.55,35.02,29.28,17.56,11.71
Wheat,Clay,5.57,1.6,139.8,10.12,195.76,1.14,13.16,20.11,92.53,3.69,4.54,Medium,Late,NPK,93.85,Broadcast,Normal,Drip,50.19,29.34,31.26,14.67,8.8,5.87
Corn,Sandy,7.46,1.07,88.61,33.86,217.19,1.27,27.84,20.48,61.32,4.27,4.93,Medium,Late,Organic,182.62,Drip,Normal,Drip,79.38,54.88,30.05,27.44,16.46,10.98
Wheat,Sandy,8.41,0.86,280.19,61.74,127.91,1.38,40.09,24.99,52.26,2.19,7.62,Medium,Mid,Organic,145.5,Broadcast,Normal,Drip,60.15,50.98,35.04,25.49,15.29,10.2
Vegetable,Clay,6.03,0.55,221.41,66.16,145.81,1.26,67.82,28.28,82.97,0.68,3.3,High,Initial,PK,97.39,Drip,Biochar,Sprinkler,22.74,42.63,43.77,21.32,12.79,8.53
Rice,Clay,6.83,1.75,263.92,64.67,211.18,1.57,113.28,38.87,58.43,1.96,5.57,Medium,Late,NK,198.07,Drip,Biochar,Sprinkler,17.61,73.94,37.33,36.97,22.18,14.79
Citrus,Loamy,7.61,1.62,274.37,15.66,319.85,1.24,68.9,19.98,94.59,2.18,7.33,High,Initial,Organic,113.21,Foliar,Controlled_Release,Flood,69.73,47.7,42.13,23.85,14.31,9.54
Rice,Clay,7.4,1.42,201.72,63.96,310.58,1.43,78.46,33.66,48.4,3.01,6.9,Medium,Mid,NK,183.27,Drip,Controlled_Release,Sprinkler,21.16,59.07,32.23,29.54,17.72,11.81
Citrus,Clay,7.2,0.89,51.65,15.72,114.57,1.37,70.48,17.56,40.75,1.32,6.37,Low,Initial,NK,130.24,Drip,Biochar,Flood,11.46,48.76,37.44,24.38,14.63,9.75
Vegetable,Clay,6.48,0.97,189.02,79.1,236.01,1.29,10.21,33.32,75.29,4.43,6.7,Low,Mid,Urea,150.43,Drip,Controlled_Release,Sprinkler,65.12,36.52,24.28,18.26,10.96,7.3
Vegetable,Loamy,7.68,2.42,250.62,35.93,232.81,1.58,36.14,25.73,58.39,2.49,5.58,High,Initial,NK,115.49,Broadcast,Controlled_Release,Drip,32.78,37.85,32.77,18.92,11.36,7.57
Rice,Sandy,7.46,0.54,128.62,58.54,249.78,1.53,111.05,31.21,59.14,2.58,3.14,Low,Late,Urea,152.51,Foliar,Biochar,Sprinkler,21.56,67.81,44.46,33.9,20.34,13.56
Citrus,Clay,5.99,1.23,281.94,43.92,160.12,1.2,28.44,37.6,77.83,2.34,2.31,High,Late,Urea,117.88,Drip,Normal,Flood,74.88,45.78,38.84,22.89,13.73,9.16
Vegetable,Clay,8.39,0.58,299.2,26.85,301.36,1.59,49.6,32.92,82.27,3.17,6.85,Medium,Late,Urea,181.88,Foliar,Biochar,Flood,24.25,61.6,33.87,30.8,18.48,12.32
Wheat,Loamy,7.17,0.88,187.32,52.76,148.13,1.11,69.83,31.66,62.37,0.86,5.62,Medium,Initial,PK,127.09,Broadcast,Biochar,Drip,61.97,48.29,38,24.14,14.49,9.66
Wheat,Loamy,7.08,2.37,182.81,11.11,165.11,1.11,90.51,36.07,47.66,5.23,7.48,Low,Late,Urea,140.17,Drip,Biochar,Flood,49.23,50.69,36.16,25.34,15.21,10.14
Citrus,Loamy,8.04,0.8,213.8,45.36,117.09,1.15,67.8,24.95,62.27,4.49,2.73,Low,Initial,Urea,169.47,Foliar,Biochar,Flood,34.02,57.65,34.02,28.82,17.29,11.53
Rice,Sandy,7.42,1.7,191.58,12.73,106.2,1.28,53.31,25.49,56.94,0.69,2.7,High,Initial,PK,122.4,Foliar,Normal,Drip,50.09,46.7,38.15,23.35,14.01,9.34
Vegetable,Loamy,5.72,1.19,90.11,49.75,358.45,1.28,83.86,26.87,82.3,5.24,2.84,Medium,Initial,NK,73.89,Foliar,Controlled_Release,Drip,74.82,41.81,56.58,20.9,12.54,8.36
Rice,Sandy,7.02,1.77,117.78,42.01,187.89,1.13,73.21,34.71,58.71,4.62,7.14,Medium,Mid,Urea,62.47,Foliar,Normal,Flood,71.77,39.81,63.73,19.9,11.94,7.96
Wheat,Clay,7.84,2.2,100.45,72.63,314.43,1.47,61.11,37.04,55.17,5.01,3.18,Low,Late,Organic,66.28,Drip,Biochar,Drip,71.31,29.92,45.14,14.96,8.98,5.98
Vegetable,Clay,7.6,1.07,68.03,77.62,315.49,1.26,70.71,26.47,81.82,3.55,5.15,High,Initial,NPK,102.69,Foliar,Controlled_Release,Drip,39.01,42.22,41.11,21.11,12.67,8.44
Rice,Clay,8.41,0.66,85.1,55.58,249.79,1.57,48.82,31.21,94.36,5.06,7.17,Low,Late,Organic,99.91,Broadcast,Controlled_Release,Sprinkler,73.79,42.18,42.22,21.09,12.65,8.44
Corn,Loamy,5.57,0.91,293.08,22.96,339.07,1.6,61.49,33.97,55.46,2.4,5.4,High,Initial,Urea,183.27,Foliar,Normal,Sprinkler,62.92,64.98,35.46,32.49,19.49,13
Citrus,Clay,6.28,1.38,188.75,46.65,50.3,1.45,53.87,26.92,71.06,5.4,6.32,High,Mid,Urea,85.33,Foliar,Normal,Drip,31.14,38.3,44.88,19.15,11.49,7.66
Citrus,Loamy,7.15,1.53,81.48,10.11,106.61,1.16,119.76,26.06,89.18,5.5,2.38,High,Late,NK,166.12,Drip,Normal,Sprinkler,36.86,72.21,43.47,36.1,21.66,14.44
Corn,Sandy,7.36,2.38,228.27,63.76,348.9,1.36,6.68,31.42,92.42,0.87,5.73,Low,Late,Urea,78.23,Drip,Normal,Sprinkler,22.16,25.02,31.98,12.51,7.51,5
Wheat,Clay,6.32,0.53,169.2,12.88,377.88,1.49,79.02,15.86,90.24,2.77,5.17,Low,Mid,Urea,158.28,Drip,Normal,Flood,47.22,55.88,35.3,27.94,16.76,11.18
Vegetable,Sandy,7.98,2.02,106.17,66.53,228.85,1.56,29.08,34.32,91.45,2.6,7.08,Low,Initial,Urea,64.15,Broadcast,Controlled_Release,Flood,11.94,24.3,37.88,12.15,7.29,4.86
Citrus,Loamy,5.99,0.65,285.89,28.53,292.65,1.31,44.74,19.32,49.05,5.48,4.72,Low,Late,PK,148.61,Foliar,Controlled_Release,Drip,45.05,50.2,33.78,25.1,15.06,10.04
Corn,Loamy,5.5,0.66,106.14,27.5,104.65,1.1,22.76,23.02,61.32,4.94,7.64,Low,Mid,NPK,61.75,Drip,Biochar,Flood,54.25,27.7,44.86,13.85,8.31,5.54
Corn,Clay,8.36,1.81,74.4,16.28,285,1.3,90.25,20.24,62.24,2.91,4.59,High,Initial,NPK,127.95,Broadcast,Biochar,Drip,36.93,51.11,39.95,25.56,15.33,10.22
Wheat,Clay,6.67,2.32,101.44,58,277.27,1.39,34.47,22.84,77.74,4.06,2.72,Medium,Mid,NK,196.56,Broadcast,Biochar,Sprinkler,75.46,47.71,24.27,23.86,14.31,9.54
Wheat,Loamy,8.37,1.08,277.98,35.62,88.37,1.16,78.5,37.5,43.97,4.58,7.19,High,Initial,Organic,191.2,Drip,Biochar,Drip,26.9,63.1,33,31.55,18.93,12.62
Rice,Clay,6.33,1.04,264.45,16.29,324.08,1.42,68.22,39.6,53.62,1.83,4.58,Medium,Mid,NK,73.79,Foliar,Biochar,Sprinkler,43.45,42.02,56.95,21.01,12.61,8.4
Citrus,Clay,5.69,1.74,273.58,32.47,61.75,1.38,51.43,15.81,89.17,4.43,3.64,High,Mid,NPK,175.93,Foliar,Biochar,Sprinkler,74.55,52.15,29.64,26.08,15.64,10.43
Rice,Sandy,7.82,2.05,279.04,74.55,393,1.34,40.91,18.25,84.45,5.09,3.83,Low,Initial,NK,183.68,Drip,Normal,Flood,65.6,50.18,27.32,25.09,15.05,10.04
Corn,Loamy,8.01,2.24,69.37,12.45,388.13,1.37,83.94,25.16,60.48,5.05,7.86,Low,Initial,Urea,193.18,Drip,Controlled_Release,Sprinkler,14.33,59.78,30.95,29.89,17.93,11.96
Vegetable,Sandy,6.98,1,227.83,56.83,325.42,1.11,64.49,15.85,65,5.18,4.62,High,Mid,Urea,158.04,Broadcast,Controlled_Release,Drip,64.03,55.13,34.88,27.56,16.54,11.03
Vegetable,Clay,5.72,1.98,216.13,45.07,220.43,1.48,5.65,26.59,65.95,4.48,4.31,Low,Late,PK,170.21,Foliar,Normal,Sprinkler,61.92,38.04,22.35,19.02,11.41,7.61
Wheat,Sandy,7.46,1.11,298.23,51.84,154.33,1.45,88.7,22.86,78.93,4.98,6.6,Medium,Initial,NPK,139.47,Broadcast,Normal,Sprinkler,12.49,57.39,41.15,28.7,17.22,11.48
Vegetable,Loamy,6.05,1.59,228.67,37.42,168.67,1.2,90.81,27.88,73.59,5.37,4.96,Low,Initial,Organic,61.28,Broadcast,Controlled_Release,Drip,71.36,39.38,64.26,19.69,11.81,7.88
Vegetable,Sandy,8.05,0.88,248.01,43.71,86.1,1.14,50.23,18.59,64.12,1.08,6.36,Low,Mid,Urea,73.92,Foliar,Biochar,Drip,48.87,31.77,42.98,15.88,9.53,6.35
Vegetable,Sandy,6.32,0.79,228.75,63.15,303.82,1.3,2.35,25.7,58.22,1.37,5.78,High,Mid,Organic,161.23,Foliar,Controlled_Release,Sprinkler,69.77,43.13,26.75,21.56,12.94,8.63
Corn,Clay,8.04,2.37,205.15,43.82,386.3,1.48,22.91,33.88,79.45,4.93,7.68,Medium,Late,NK,128.67,Foliar,Controlled_Release,Drip,74.42,36.08,28.04,18.04,10.82,7.22
Vegetable,Loamy,6.78,1.59,188.26,36.34,133.6,1.3,68.89,24.5,45.95,0.51,7.14,Low,Initial,Urea,172.57,Foliar,Biochar,Drip,10.03,51.13,29.63,25.56,15.34,10.23
Vegetable,Clay,7.29,0.51,292.32,29.3,392.22,1.46,90.75,36.72,55.99,3.1,2.48,Low,Late,NPK,117.38,Drip,Controlled_Release,Flood,27.77,54.94,46.81,27.47,16.48,10.99
Vegetable,Clay,7.87,2.09,284.09,41.54,208.55,1.49,10.21,19.42,48.54,1.83,7.74,High,Initial,PK,135.2,Broadcast,Biochar,Flood,48.64,34.2,25.3,17.1,10.26,6.84
Rice,Loamy,5.62,1.88,159.46,50.3,99.06,1.12,80.75,24.5,48.19,3.86,5.69,Medium,Mid,NPK,133.9,Broadcast,Biochar,Flood,71.52,52.1,38.91,26.05,15.63,10.42
Corn,Sandy,7.96,1.15,121.04,36.21,320.24,1.3,60.15,16.46,55.54,5.33,3.94,High,Initial,Organic,124.95,Drip,Controlled_Release,Sprinkler,60.13,49.23,39.4,24.62,14.77,9.85
Wheat,Clay,5.92,1.43,177.27,73.07,340.53,1.59,28.15,16.7,91.62,3.77,7.21,Low,Late,NK,187.63,Drip,Normal,Sprinkler,31.52,49.1,26.17,24.55,14.73,9.82
Rice,Sandy,6.58,1.4,236.53,79.72,168.22,1.11,58.33,29.02,44.52,2.68,6.58,Low,Initial,Organic,155.08,Foliar,Controlled_Release,Sprinkler,33.53,51.76,33.38,25.88,15.53,10.35
Citrus,Loamy,6.92,1.05,150.24,24.29,388.43,1.55,7.63,33.93,67.43,3.04,3.03,Low,Mid,NK,196.61,Drip,Normal,Sprinkler,56.3,49.9,25.38,24.95,14.97,9.98
Corn,Clay,8.19,2.46,184.31,55.1,237.72,1.16,79.1,38.11,90.64,5.96,2.81,High,Initial,NK,71.57,Foliar,Biochar,Sprinkler,65.2,37.21,51.99,18.6,11.16,7.44
Corn,Sandy,5.57,1.59,124.68,24.43,61.25,1.41,15.09,23.91,70.78,2.02,7.11,Low,Late,Organic,146.42,Broadcast,Biochar,Sprinkler,74.3,41.52,28.36,20.76,12.46,8.3
Citrus,Sandy,7.18,2.29,156.93,47.87,170.64,1.57,2.77,33.55,56.58,4.7,6.25,Low,Late,NPK,175.67,Foliar,Controlled_Release,Drip,60.31,40.96,23.32,20.48,12.29,8.19
Citrus,Clay,7.43,1.67,289.32,37.53,318.08,1.41,3.19,16.01,52.32,3.14,3.8,Low,Initial,Urea,166.3,Foliar,Controlled_Release,Flood,69.1,36.26,21.8,18.13,10.88,7.25
Citrus,Loamy,6.45,1.88,103.71,27.18,119.58,1.2,85.33,20.15,57.71,0.71,4.15,Low,Initial,NPK,139.81,Drip,Normal,Sprinkler,56.45,49.1,35.12,24.55,14.73,9.82
Wheat,Sandy,6.37,0.56,297.18,33.95,96.08,1.2,29.27,26.31,48.01,1.6,5.52,Low,Late,Organic,126.36,Foliar,Normal,Flood,55,43.96,34.79,21.98,13.19,8.79
Vegetable,Loamy,6.97,1.52,103.88,18.63,264.84,1.12,63.63,34.89,55.41,5.21,5.36,Medium,Late,PK,129.39,Foliar,Normal,Flood,34.73,53.37,41.25,26.68,16.01,10.67
Corn,Clay,6.06,1.94,129.81,15.56,154.62,1.28,5.51,23.29,84.59,3.32,5.92,High,Initial,NK,155.18,Broadcast,Controlled_Release,Sprinkler,10.17,38.6,24.87,19.3,11.58,7.72
Vegetable,Sandy,6.9,0.74,71.79,41.51,264.76,1.39,5.35,38.11,75.97,4.94,5.91,High,Late,PK,119.56,Broadcast,Normal,Sprinkler,49.83,42.45,35.51,21.22,12.74,8.49
Vegetable,Sandy,7.8,1.86,238.02,67.07,160.4,1.51,101.79,32.38,46.74,5.51,3.24,Medium,Initial,PK,64.03,Broadcast,Biochar,Flood,51.39,44.03,68.76,22.02,13.21,8.81
Citrus,Sandy,8.04,0.67,54.41,57.8,319.94,1.39,84.9,27.45,56.2,5.12,5.91,High,Initial,PK,161.1,Drip,Biochar,Flood,36.43,63.13,39.19,31.56,18.94,12.63
Wheat,Loamy,6.66,2.11,246.96,51.67,197.56,1.56,13.26,29.33,71.39,1.29,3.28,Medium,Late,Organic,148.65,Broadcast,Normal,Flood,47.6,37.53,25.25,18.76,11.26,7.51
Rice,Sandy,7.35,2.46,194.28,39.44,395.17,1.45,65.75,29.29,49.93,1.2,2.39,Low,Initial,NPK,132.34,Broadcast,Biochar,Flood,16.79,44.12,33.34,22.06,13.24,8.82
Wheat,Sandy,5.5,1.75,237.19,42.8,181.16,1.38,18.35,30.51,52.62,3.61,5.97,High,Late,NK,73.93,Broadcast,Biochar,Flood,32.15,26.88,36.36,13.44,8.06,5.38
Vegetable,Clay,7.15,0.65,245.78,11.5,101.29,1.2,93.48,34.42,73.55,3.35,7.83,High,Initial,NK,114.77,Drip,Controlled_Release,Drip,38.86,58.02,50.55,29.01,17.41,11.6
Wheat,Sandy,8.43,1.67,81.1,75.81,272.29,1.49,80.19,34.16,83.28,1.18,2.67,Low,Late,Organic,133,Broadcast,Controlled_Release,Sprinkler,46.27,52.87,39.75,26.44,15.86,10.57
Citrus,Loamy,6.44,1.98,55.35,31.76,305.02,1.25,113.56,26.52,84.89,2.83,7.21,High,Late,NPK,147.8,Drip,Normal,Sprinkler,58.36,64.68,43.76,32.34,19.4,12.94
Rice,Clay,7.28,2.37,92.19,74.01,170.59,1.26,67.73,26.58,70.3,1.65,3.83,Medium,Mid,NK,113.36,Broadcast,Normal,Flood,69.83,40.7,35.9,20.35,12.21,8.14
Citrus,Clay,7.79,0.59,146.02,60.14,311.06,1.15,47.09,28.59,56.25,2.37,6.86,High,Mid,Organic,60.56,Foliar,Normal,Flood,68.09,36.87,60.88,18.43,11.06,7.37
Rice,Sandy,7.33,2.05,68.33,49.32,169.52,1.13,83.48,19.66,88.47,2.17,5.39,Low,Late,Organic,85.08,Drip,Normal,Sprinkler,24.96,42.13,49.52,21.06,12.64,8.43
Vegetable,Clay,6.76,0.77,164.18,41.16,84,1.33,71.34,30.18,83.07,1.72,7.12,High,Initial,NPK,157.26,Drip,Normal,Drip,41.97,58.42,37.15,29.21,17.53,11.68
Rice,Sandy,5.96,2.08,121.27,32.61,79.12,1.16,49.1,35.49,87.58,4.8,2.81,High,Late,Urea,192.66,Foliar,Biochar,Drip,77.22,55.7,28.91,27.85,16.71,11.14
Rice,Clay,6.89,2.28,140.96,54.68,216.8,1.27,50.4,24.17,88.6,2.54,3.91,High,Mid,NPK,115.53,Broadcast,Normal,Drip,45.08,42.7,36.96,21.35,12.81,8.54
Rice,Loamy,6.38,2.22,285.09,77.92,394.26,1.52,17.96,24.81,73.76,4.15,5.33,Medium,Initial,PK,73.19,Broadcast,Biochar,Flood,57.31,23.95,32.72,11.98,7.18,4.79
Wheat,Sandy,7.59,1.81,231.07,66.3,236.17,1.26,57.28,30.06,72.18,1.58,4.83,Low,Mid,Urea,119.46,Foliar,Controlled_Release,Drip,25.18,44.5,37.25,22.25,13.35,8.9
Wheat,Loamy,6.83,1.5,214.54,37.38,236.26,1.41,18.53,25.64,88.47,4.15,4.38,Low,Late,NK,177.23,Foliar,Biochar,Sprinkler,42.47,41.3,23.3,20.65,12.39,8.26
Vegetable,Sandy,8.05,2.25,213.39,43.75,352,1.53,20.71,19.54,54.81,2.3,3.5,Medium,Late,NK,170.13,Foliar,Controlled_Release,Drip,28.78,41.4,24.33,20.7,12.42,8.28
Rice,Loamy,6.08,1.54,188.85,42.79,381.56,1.17,18.69,17.73,49.37,4.41,4.13,Medium,Late,Organic,112.03,Drip,Normal,Sprinkler,60.37,31.82,28.4,15.91,9.55,6.36
Corn,Loamy,6.75,0.88,178.25,28.17,111.58,1.57,57.68,30.03,62.58,4.33,6.24,Low,Late,NPK,60.33,Foliar,Biochar,Flood,12.62,36.09,59.82,18.05,10.83,7.22
Vegetable,Clay,7.17,2.39,270.54,69.31,96.2,1.38,58.54,25.09,44.61,4.53,6.15,Low,Late,PK,106.63,Drip,Controlled_Release,Drip,59.84,37.72,35.37,18.86,11.32,7.54
Rice,Sandy,5.88,1.25,68.75,58.5,288.87,1.47,7.64,34.69,66.85,5.17,4.33,Low,Mid,Organic,166.98,Drip,Normal,Drip,15.96,47.14,28.23,23.57,14.14,9.43
Rice,Clay,7.26,1.75,122.13,51.83,264.11,1.53,78.02,33.16,52.09,3.35,5.43,Low,Late,Organic,181.74,Drip,Normal,Drip,13.71,62.3,34.28,31.15,18.69,12.46
Wheat,Loamy,6.37,0.9,76.03,40.33,171,1.49,19.55,37.72,62.59,3.09,2.98,High,Initial,NK,121.72,Foliar,Biochar,Drip,16.25,40.84,33.55,20.42,12.25,8.17
Vegetable,Sandy,6.19,0.72,52.76,26.73,363.44,1.22,55.5,28.58,53.76,3.87,6.54,Low,Mid,Urea,63.79,Foliar,Controlled_Release,Drip,76.59,39.66,62.17,19.83,11.9,7.93
Rice,Loamy,5.93,1.6,53.47,54.79,239.92,1.23,73.01,18.89,40.03,4.58,5.96,High,Late,PK,137.44,Broadcast,Normal,Drip,64.65,49.58,36.07,24.79,14.87,9.92
Rice,Loamy,6.55,1.61,56,26.57,110.61,1.19,6.56,21.86,91.02,4.09,6.72,Medium,Late,Urea,73.4,Broadcast,Controlled_Release,Flood,16.38,23.74,32.34,11.87,7.12,4.75
Vegetable,Loamy,8.29,1.24,220.43,10.62,186.31,1.2,66.75,38.14,83.68,0.76,6.12,Medium,Mid,NPK,161.37,Drip,Normal,Drip,56.24,60.95,37.77,30.48,18.28,12.19
Corn,Loamy,5.59,1.12,77.85,14.66,357.25,1.5,110.04,22.57,72.12,5.17,3.67,High,Initial,Urea,147.55,Drip,Normal,Flood,53.78,64.52,43.73,32.26,19.36,12.9
Vegetable,Clay,8.06,1.25,100.6,58.58,56.52,1.38,16.25,27.01,40.71,4.23,3.42,High,Mid,NK,81.12,Foliar,Controlled_Release,Drip,77.16,27.02,33.31,13.51,8.11,5.4
Vegetable,Loamy,6.69,2.09,154.75,36.43,343.28,1.16,110.12,25.45,86.92,4.92,3.24,Low,Initial,PK,172.54,Drip,Normal,Drip,48.16,60.53,35.08,30.26,18.16,12.11
Corn,Clay,7.18,1.22,117.31,24.45,383.08,1.25,98.06,37.43,81.12,5,7.09,High,Mid,Urea,104.83,Drip,Normal,Drip,64.83,59.87,57.11,29.94,17.96,11.97
Vegetable,Loamy,7.04,2.34,254.17,26.65,178.23,1.14,64.38,34.36,62.21,0.85,3.24,High,Mid,PK,171.75,Foliar,Controlled_Release,Sprinkler,55.28,53.09,30.91,26.54,15.93,10.62
Rice,Sandy,8.28,0.73,205.86,44.61,149.68,1.51,15.02,15.89,67.45,1.95,2.71,Low,Initial,Urea,191.6,Drip,Normal,Sprinkler,39.16,47.07,24.57,23.54,14.12,9.41
Vegetable,Loamy,7.81,2.36,133.33,73.38,108.02,1.41,86.82,26.65,83.2,2.43,2.5,Medium,Late,Organic,131.76,Drip,Normal,Flood,18.76,48.17,36.56,24.08,14.45,9.63
Corn,Loamy,8.45,1.88,129.45,28.82,64,1.18,77.7,27.39,75.96,5.16,7.32,Low,Late,Organic,64.18,Foliar,Biochar,Sprinkler,64.84,35.72,55.66,17.86,10.72,7.14
Citrus,Sandy,7.88,1.19,220.92,55.88,286.78,1.52,79.94,16.7,89.69,0.89,6.51,Low,Late,Urea,121.19,Foliar,Biochar,Flood,75.22,49.22,40.61,24.61,14.77,9.84
Vegetable,Sandy,6.39,0.51,92.67,67.79,109.83,1.55,15.53,23.88,71.14,2.75,4.15,Low,Initial,NK,131.8,Drip,Biochar,Sprinkler,28.57,39.5,29.97,19.75,11.85,7.9
Wheat,Loamy,8.39,2.1,120.14,44.21,363.19,1.45,58.75,25.43,71.93,5.44,5.65,Medium,Initial,NK,96.08,Broadcast,Controlled_Release,Flood,25.04,35.67,37.13,17.84,10.7,7.13
Rice,Loamy,8.45,2.44,138.36,11.89,209.51,1.35,78.42,36.2,84.26,4.19,7.83,Low,Initial,NK,105.98,Drip,Normal,Flood,18.43,43.36,40.91,21.68,13.01,8.67
Rice,Clay,5.87,2.46,163.66,65.73,390.52,1.49,55.9,39,51.38,3.72,3.94,High,Initial,PK,97.52,Foliar,Biochar,Flood,75.62,36.46,37.39,18.23,10.94,7.29
Wheat,Sandy,8.2,1.35,97.63,71.56,392.94,1.29,70.82,23.49,51.39,3.01,7.73,High,Late,Organic,128.53,Broadcast,Normal,Drip,70.42,52.97,41.21,26.48,15.89,10.59
Wheat,Sandy,7.49,0.64,89.31,12.17,330.19,1.32,67.72,28.28,47.7,4.03,3.65,High,Initial,Urea,79.71,Broadcast,Biochar,Flood,11.25,47.43,59.5,23.72,14.23,9.49
Vegetable,Clay,8.27,1.13,297.49,18.13,203.91,1.31,51.22,38.37,48.47,4.66,4.19,Medium,Mid,PK,91.11,Broadcast,Controlled_Release,Sprinkler,20.42,38.4,42.15,19.2,11.52,7.68
Wheat,Loamy,8.25,1.12,278.3,16.09,211.83,1.59,18.13,26.76,80.64,5.58,5.85,Low,Mid,NPK,137.54,Drip,Controlled_Release,Flood,47.77,40.66,29.56,20.33,12.2,8.13
Citrus,Loamy,8.17,0.7,180.9,25.48,382.7,1.27,97.52,23,63.26,0.7,5.3,Low,Initial,Urea,199.59,Foliar,Biochar,Sprinkler,10.96,67.35,33.74,33.67,20.2,13.47
Corn,Sandy,8.16,1.55,241.39,44.72,304.69,1.35,77,17.81,65.95,2.16,4.41,Low,Initial,NPK,185.24,Foliar,Controlled_Release,Sprinkler,52.14,54.49,29.42,27.24,16.35,10.9
Wheat,Clay,5.85,1.71,218.5,12.33,190.23,1.54,76.95,29.93,64.68,5.4,6.41,High,Late,NK,120.38,Broadcast,Controlled_Release,Sprinkler,40.63,50.52,41.97,25.26,15.16,10.1
Wheat,Loamy,5.93,1.96,68.78,21.83,351.88,1.14,6.41,30.67,53.37,5.72,5.45,High,Mid,Urea,62.78,Drip,Normal,Drip,41.47,23.13,36.84,11.56,6.94,4.63
Citrus,Sandy,5.85,0.6,179.47,38.51,145.14,1.24,90.51,26.52,93.05,0.65,4.29,Medium,Initial,NPK,148.09,Broadcast,Biochar,Drip,39.92,62.41,42.14,31.2,18.72,12.48
Rice,Loamy,5.77,1.05,95.98,54.31,377.89,1.48,25.97,32.7,67.68,2.99,6.29,Low,Mid,NK,134.51,Foliar,Controlled_Release,Flood,11.63,44.28,32.92,22.14,13.28,8.86
Rice,Loamy,6.56,1.21,196.01,73.67,134.87,1.47,82.15,27.37,61.13,4.7,5.41,High,Initial,PK,122.46,Broadcast,Biochar,Sprinkler,59.07,55.03,44.94,27.52,16.51,11.01
Vegetable,Loamy,7.55,2.28,65.45,68.09,306.56,1.38,81.88,33.35,81.33,5.46,6.79,High,Mid,Organic,133.3,Foliar,Controlled_Release,Sprinkler,16.33,51.45,38.6,25.72,15.44,10.29
Citrus,Sandy,6.56,2.3,90.73,13.77,276.56,1.45,10.89,18.34,82.46,1.27,3.94,High,Mid,Urea,135.48,Broadcast,Biochar,Flood,24.05,35.56,26.25,17.78,10.67,7.11
